,address
6349,"Респ. Татарстан, г. Казань, ул. 10 лет Октября (Отары), д. 9"
6350,"Респ. Татарстан, г. Казань, ул. 1 Мая, д. 1"
6351,"Респ. Татарстан, г. Казань, ул. 1 Мая, д. 20"
6352,"Респ. Татарстан, г. Казань, ул. 1 Мая, д. 22"
6353,"Респ. Татарстан, г. Казань, ул. 25 Октября, д. 2/7"
6354,"Респ. Татарстан, г. Казань, ул. 25 Октября, д. 4"
6355,"Респ. Татарстан, г. Казань, ул. 25 Октября, д. 5"
6356,"Респ. Татарстан, г. Казань, ул. 25 Октября, д. 6"
6357,"Респ. Татарстан, г. Казань, ул. 25 Октября, д. 9/7"
6358,"Респ. Татарстан, г. Казань, ул. 25 Октября, д. 11"
6359,"Респ. Татарстан, г. Казань, ул. 25 Октября, д. 13/6"
6360,"Респ. Татарстан, г. Казань, ул. 25 Октября, д. 16/9"
6361,"Респ. Татарстан, г. Казань, ул. 25 Октября, д. 20/8"
6362,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 5"
6363,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 7"
6364,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 10"
6365,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 12"
6366,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 13"
6367,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 15"
6368,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 17"
6369,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 18"
6370,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 19"
6371,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 20"
6372,"Респ. Татарстан, г. Казань, ул. 40-летия Октября, д. 22"
6373,"Респ. Татарстан, г. Казань, ул. 8 Марта, д. 2"
6374,"Респ. Татарстан, г. Казань, ул. 8 Марта, д. 4"
6375,"Респ. Татарстан, г. Казань, ул. 8 Марта, д. 8"
6376,"Респ. Татарстан, г. Казань, ул. 8 Марта, д. 9"
6377,"Респ. Татарстан, г. Казань, ул. 8 Марта, д. 11"
6378,"Респ. Татарстан, г. Казань, ул. 8 Марта, д. 12"
6379,"Респ. Татарстан, г. Казань, ул. 8 Марта, д. 16"
6380,"Респ. Татарстан, г. Казань, ул. Абдуллы Бичурина, д. 13"
6381,"Респ. Татарстан, г. Казань, ул. Абжалилова, д. 1"
6382,"Респ. Татарстан, г. Казань, ул. Абжалилова, д. 3"
6383,"Респ. Татарстан, г. Казань, ул. Абжалилова, д. 19"
6384,"Респ. Татарстан, г. Казань, ул. Абжалилова, д. 21"
6385,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 13"
6386,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 14"
6387,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 16"
6388,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 18"
6389,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 19"
6390,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 23"
6391,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 25"
6392,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 26"
6393,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 26А"
6394,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 27"
6395,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 28"
6396,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 29"
6397,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 30"
6398,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 31"
6399,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 32"
6400,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 35"
6401,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 37"
6402,"Респ. Татарстан, г. Казань, ул. Абсалямова, д. 39"
6403,"Респ. Татарстан, г. Казань, ул.  Абубекира Терегулова, д. 2"
6404,"Респ. Татарстан, г. Казань, ул. Абубекира Терегулова, д. 2"
6405,"Респ. Татарстан, г. Казань, ул. Абубекира Терегулова, д. 4"
6406,"Респ. Татарстан, г. Казань, ул. Абубекира Терегулова, д. 6"
6407,"Респ. Татарстан, г. Казань, ул. Абубекира Терегулова, д. 6А"
6408,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 50"
6409,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 52"
6410,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 54"
6411,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 56"
6412,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 56, к. 2"
6413,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 58"
6414,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 60"
6415,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 60, к. 2"
6416,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 62, к. 1"
6417,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 62, к. 2"
6418,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 62, к. 3"
6419,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 62, к. 4"
6420,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 62, к. 5"
6421,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 66"
6422,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 66, к. 2"
6423,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 66, к. 3"
6424,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 68, к. 2"
6425,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 85"
6426,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 87"
6427,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 88"
6428,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 89"
6429,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 90/48"
6430,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 91"
6431,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 143"
6432,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 145"
6433,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 147"
6434,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 147А"
6435,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 147Б"
6436,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 149"
6437,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 151"
6438,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 153"
6439,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 157"
6440,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 161"
6441,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 163"
6442,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 165"
6443,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 167"
6444,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 167А"
6445,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 171"
6446,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 171А"
6447,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 171Б "
6448,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 171Б"
6449,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 185"
6450,"Респ. Татарстан, г. Казань, ул. Авангардная, д. 187"
6451,"Респ. Татарстан, г. Казань, ул. Авиахима, д. 34"
6452,"Респ. Татарстан, г. Казань, ул. Авиахима, д. 53"
6453,"Респ. Татарстан, г. Казань, ул. Авиахима, д. 53, к. 2"
6454,"Респ. Татарстан, г. Казань, ул. Авиахима, д. 53, к. 3"
6455,"Респ. Татарстан, г. Казань, ул. Авиахима, д. 55"
6456,"Респ. Татарстан, г. Казань, ул. Агрономическая, д. 4"
6457,"Респ. Татарстан, г. Казань, ул. Агрономическая, д. 6"
6458,"Респ. Татарстан, г. Казань, ул. Агрономическая, д. 16"
6459,"Респ. Татарстан, г. Казань, ул. Агрономическая, д. 18"
6460,"Респ. Татарстан, г. Казань, ул. Агрономическая, д. 20"
6461,"Респ. Татарстан, г. Казань, ул. Агрономическая, д. 76"
6462,"Респ. Татарстан, г. Казань, ул. Агрономическая, д. 78"
6463,"Респ. Татарстан, г. Казань, ул. Агрономическая, д. 80"
6464,"Респ. Татарстан, г. Казань, ул. Агрызская, д. 78"
6465,"Респ. Татарстан, г. Казань, ул. Агрызская, д. 80"
6466,"Респ. Татарстан, г. Казань, ул. Агрызская, д. 82"
6467,"Респ. Татарстан, г. Казань, ул. Адамюка, д. 4"
6468,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 1"
6469,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 2а"
6470,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 3"
6471,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 3а"
6472,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 4"
6473,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 5"
6474,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 5А"
6475,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 6"
6476,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 7"
6477,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 7 (дубль 1)"
6478,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 8"
6479,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 9"
6480,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 10"
6481,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 12"
6482,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 14"
6483,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 16"
6484,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 33"
6485,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 35"
6486,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 37"
6487,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 39"
6488,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 44"
6489,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 44А"
6490,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 46"
6491,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 48"
6492,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 48а"
6493,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 50/9"
6494,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 54"
6495,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 68, к. 1"
6496,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 68, к. 2"
6497,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 70"
6498,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 72"
6499,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 82"
6500,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 86а"
6501,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 88"
6502,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 104"
6503,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 110А"
6504,"Респ. Татарстан, г. Казань, ул. Аделя Кутуя, д. 110Б"
6505,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 1"
6506,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 1 "
6507,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 5"
6508,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 7"
6509,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 9"
6510,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 11"
6511,"Респ. Татарстан, г. Казань, ул. Адмиралтейская, д. 13/30"
